title,link,price,rating,brand,model_name,operating_system,cellular_technology,wireless_network_technology,about
"SAMSUNG Electronics Galaxy A03 Cell Phone, Factory GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, International Version (Black)",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-International/dp/B09TWW6K4K/ref=sr_1_4?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1673089578&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-4,$103.79,3.9,SAMSUNG,Galaxy A033,Android 10.0,2G,GSM,"6.5"" Infinity-V Display,PLS TFT LCD, 90Hz, 720 x 1600 (HD+) with 1.6GHz Octa-Core Android 11    32 ROM, 3GB RAM, Expandable MicroSD (Up to 1TB); Long Lasting 5000 mAh Battery; Sensors include Accelerometer, Light Sensor, Proximity Sensor    Dual-SIM (GSM) mobile that accepts Nano-SIM mobile. Rear Camera: 48MP, F1.8 + 2MP, F2.2 + 2MP, F2.4 (depth), Front Camera: 5MP, F2.2    2G Bands: 850, 900, 1800 MHz, 3G Bands: B1(2100), B5(850), B8(900); 4G LTE Bands: B1(2100), B3(1800), B5(850), B7(2600), B8(900), B20(800), B28(700); 4G TDD LTE B38(2600), B40(2300), B41(2500)    International Model compatible with Most GSM Carriers in US and Global like T-Mobile, AT&T, MetroPCS, etc. Will NOT work with CDMA Carriers Such as Verizon, Sprint."
"Blackview Rugged Smartphone Unlocked, BV4900 Unlocked Cell Phone, 3GB+32GB/ SD 128GB Expandable Unlocked Phones, IP68 Waterproof Smartphone, 5.7"" HD+ 5580mAh Battery, NFC, Android Phone for T-Mobile",https://www.amazon.com/Unlocked-Blackview-BV4900-Waterproof-T-Mobile/dp/B08YN5QNQX/ref=sr_1_12?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1673089578&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-12,$129.99,3.9,Blackview,BV4900 Rugged Smartphone,Android 10.0,4G,"GSM, Wi-Fi","🔋【5580mAh Big Battery】Blackview BV4900 rugged smartphone unlocked is equipped with a 5580mAh high-capacity. It only takes 1.5 hours to brim the giant 8380mAh battery. It can guarante 120 hours of standby and 12 hours of worry-free gaming time.can provide 720 hours of standby time or call 32 hours or gaming for 10 hours. This rugged unlocked smartphone is equipped with 5.7-inch HD Display and a thickened glass plate to upgraded toughness.    🚀【3GB RAM + 32GB ROM + 128GB Expand】Blackview BV4900 rugged unlocked cell phones is powered by the energy-saving MT6761 Quad-core 2.0GHz processor, which provides your cell phone with excellent multitasking performance. In addition, 3GB RAM and 32GB ROM (128GB SD card support) make the rugged unlocked phone more smoothly, and you can store a large number of videos, photos and applications in your cell phone. What's more, it can support NFC and OTG convenient functions.    💧【IP68 Waterproof & MIL-STD-810G Anti-drop】Blackview BV4900 rugged waterproof smartphone support MIL-STD-810G Drop Proof and IP68 Waterproof, can survive from 5-feet dropping, 2 hours immersion under 5-feet water and resist 99% of dust. Moreover, it can work normally in the temperature range of -30°C (-22°F) to 60°C (140°F). No more screen cracking, confidently take it with you to travel or outdoor sports.    📷【8MP Rear Camera and 5MP Front Camera】Blackview BV4900 rugged unlocked smartphone is equipped with the 8MP Sony IMX214 main camera to capture the subject clearly, while the 5MP front camera only needs to look at the screen once to unlock the face. In addition, when you light up the screen of your smartphone, Face Unlock will immediately recognize you. Just take a look, the smartphone will unlock the fun for you instantly. The rugged mobile phone can also support Fingerprint unlock.    📶【4G Network & Dual SIM】Please Confirm Your SIM Card's Compatibility with Your Carrier Before Order! This BV4900 Does NOT work with Verizon/ Sprint/ Boost Mobile/ US Cellular. Only compatible with GSM Carriers like AT&T, T-Mobile, Metro PCS, etc. Please contact us if you are not sure ! Besides, it supports 4G Network Dual SIM Dual Standby. All Blackview cell phones purchased in our shop are guaranteed for 1 year. If you have any problems during use, please contact us."
"Bewinner I14pro Max Unlocked Smartphone, 6.1in 4GB RAM 64GB ROM Dual SIM 4G Network Mobile Phone, Face ID Unlocked Cellphone for Android 11 4000mah Battery (Black)",https://www.amazon.com/Bewinner-Unlocked-Smartphone-Network-Cellphone/dp/B0B64J41G9/ref=sr_1_24?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1673089578&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-24,$104.12,3.0,Bewinner,,,,"GSM, Wi-Fi","LARGE SCREEN SMARTPHONE: The unlocked phone adopts a 6.1in ultra high definition screen and an IPS high definition screen. Not only does it bring a wider visual experience, but it also has extraordinary vivid colors and amazing clarity, allowing you to explore every detail to maximize your viewing experience.    4000MAH LARGE BATTERY: The smartphones are equipped with an above average 4000mAh battery, which lasts longer than you expect, 6‑10 hours of talking, 8‑15 hours listening to music, 3‑5 hours playing games, and more. Smart and thoughtful AI battery management can reduce excessive cache to save more power, thus extending standby time.    FOR ANDROID 11 SYSTEM: Dual SIM unlock phone is equipped with the latest for Android 11 system, MTK6737 and up to 2.0GHz, using 12nm processor. The architecture runs multiple applications with enough fluidity and responsiveness to meet your productivity and entertainment needs.    HIGH PIXELS DUAL CAMERA: 16MP rear camera and 8MP front camera, you can further edit your photos with filters, or other techniques, and face unlocking your phone only takes a second. Three in one navigation system, GPS, GLONASS, Beidou navigation, positioning is faster.    4G GSM NETWORK PHONE: This phone i14pro max provides 4G network, which can be connected with GSM network operators such as for T Mobile, for Verizon, for American Telephone and Telegraph Company, etc. i14Pro max always strives to provide reasonable mobile phones to our esteemed customers. Please note that the supported network bands are GSM850, 1800, 1900, 1900MHz, 3G: WCDMA850, 1700, 1900MHz, 4G: B2.B4.B5.B7.B12.B17.B20.B28A.B28B"
Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 4/64GB | 48MP Camera | Polar Silver,https://www.amazon.com/battery-Unlocked-Motorola-Camera-Silver/dp/B09L2WFNVX/ref=sr_1_1?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1673089578&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-1,$129.99,4.4,Motorola,Moto G Power,Android 10.0,2G,"GSM, CDMA, LTE","Carrier compatibility: AT&T: VoLTE, Verizon: VoLTE, T Mobile: VoLTE, WiFi Calling, Video Calling, Tracfone: GSM, CDMA, Ting: VoLTE. Does not support: Xfinity Wireless, Spectrum, Optimum Mobile. For all carrier compatibility details - please check the product images in detail.Form_factor : Slider    Up to three-day battery. Capture more of life without stopping to recharge thanks to a 5000 mAh battery.Aspect Ratio: 19:9    48 MP triple camera system. Take stunning photos in any light, as well as beautifully blurred portraits and incredibly detailed closeups.    6.6"" Max Vision HD, display. Watch games, movies, and video chats come to life on an ultra-wide screen.    Has a 2020 Qualcomm Snapdragon 662 processor, updated from the 2019 Qualcomm Snapdragon 665 in the moto g power 2020.Lag-free performance. Get more done without slowing down thanks to a speedy Qualcomm Snapdragon 662 processor.    Water-repellent design3. Keep your phone safe from accidental spills and splashes.    My UX Your phone. Your experience. With My UX, your phone works the way you want. Control it with simple gestures, customize your entertainment settings, and create a look that’s one in a million. The new My UX. It’s all you."
Nokia G10 | Android 11 | Unlocked Smartphone | 3-Day Battery | Dual SIM | US Version | 3/32GB | 6.52-Inch Screen | 13MP Triple Camera | Polar Night,https://www.amazon.com/Nokia-Android-Unlocked-Smartphone-6-52-Inch/dp/B093QPTSK7/ref=sr_1_2?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1673089578&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-2,$119.99,3.9,Nokia,G10,Android 11.0,2G,"GSM, LTE","Make the most of family-sized battery power with up to 3 days of life between charges.Maximum display resolution:1600x720 pixels.Display Type:LCD.Form_factor : Slate.Aspect ratio:21:9.Display resolution maximum:1600x720 pixels    Enjoy the 6.5” screen and brightness boost for clear viewing – even when you’re out and about.    Capture family life from every angle on the triple camera and explore advanced imaging modes.    Get tomorrow’s phone today with 2 years of upgrades and the latest Android 11 features.    Product is compatible with GSM carriers. The following mobile network providers are confirmed to be compatible at this time: AT&T, Boost, Cricket, H2O Wireless, Metro, Net10, Simple Mobile, T-Mobile, Tracfone. Other GSM carriers cannot be confirmed to be compatible. Carrier network coverage is dependent upon the carrier's service area. Product is not compatible with Verizon.    Keep the family safe with a side fingerprint sensor and secure face recognition."
"Ulefone Unlocked Mobile Phone, Note 14 Android 12 3GB+16GB, Triple Card Slots 6.52"" Waterdrop Screen, 8MP+5MP Dual Camera, 4500mAh Battery Dual SIM 4G Smartphone, Face Unlock, GPS, US Version",https://www.amazon.com/Ulefone-Note-14-Waterdrop-Smartphone/dp/B0BGPK9DK7/ref=sr_1_47?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1673089595&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-47,$104.99,3.0,Ulefone,Ulefone Note 14,Android 12.0,4G,,"🚀【Android 12 Smartphone & 3GB + 16GB + 128GB TF Expansion】Thanks to the latest hardware configuration, the Ulefone Note 14 gsm cell phones can delivers sufficient performance for the most android apps to run smoothly. Meanwhile, note 14 support 128GB TF memory expansion, allows you to leave more ROM space to support the mobile phone running smoothly without freezing.    📱 【6.52"" Waterdrop Screen and Face ID Android Phone】Note 14 android 12 smartphone adopts 6.52"" waterdrop display with good optical performance to present you stunning visual experience.Palm-sized small phone provides comfortable hands grip feeling and convenient single hand operationm, perfectly Fits Your Hand. Durable design makes it be a good present for your kids or the aged.    📷【8MP Dual Rear Camera+5MP Front Camera】Note 14 mobile phone features a 8MP main camera and a 2MP sub-camera with rear flash, which adjust light and tone intelligently, combined with all-new Al scenes recognition and Al beautification, helps to capture bright and detailed images even in low-light environment, and the 5MP front camera with the intelligent beauty mode, enough for daily use.    🔋【4500mAh Battery + OTG Support】Note 14 4G smart phone packs a 4500mAh energy-efficient battery which guarantees a long service between charges. And with the power-efficient processor, the battery of Note 6 cheap smartphone makes it possible for you to keep on playing hours without worrying about running out of power, battery life varies depending on the method of use.    📶【Dual 4G Global Network International Mobile Phone + 1 Year US Local Warranty】Ulefone 14 global unlocked mobile phone can work with GSM WCDMA and LTE in most carriers such as T-mobile, Metro PCS &etc. But Not compatible with AT&T or Cricket and CDMA Carriers.(NOT support CDMA like Straight Talk,U.S. Cellular, Boost,Sprint and Verizon ,Net 10). We provide 1 year warranty, if you have any questions about the mobile phone, please freely to contact us."
"Samsung Galaxy A12 (64GB, 4GB) 6.5"" HD+, Quad Camera, 5000mAh Battery, Dual SIM GSM Unlocked Global 4G Volte (T-Mobile, AT&T, Metro) International Model A125M/DS (64GB SD Bundle, Black)",https://www.amazon.com/Unlocked-T-Mobile-International-A125M-DS/dp/B08W3LYXKG/ref=sr_1_48?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1673089595&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-48,$172.50,4.0,SAMSUNG,Galaxy A12,Android 10.0,"4G LTE, GSM","GSM, LTE","6.5"" 720 x 1600 (HD+) PLS TFT LCD Infinity-V Display, 5000mAh Battery, Fingerprint (side-mounted)    64GB ROM, 4GB RAM, Mediatek MT6765 Helio P35 (12nm), Octa-core, PowerVR GE8320, Android 10    Rear Camera: 48MP, F2.0 + 5MP, F2.2 + 2MP, F2.4 + 2MP, F2.4, Front Camera: 8MP, F2.2, Bluetooth 5.0    2G Bands: 850, 900, 1800, 1900MHz, 3G Bands: 850, 900, 1700, 1900, 4G LTE Bands: 1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41 - Dual SIM    International Model - No Warranty in US. Compatible with Most GSM Carriers like T-Mobile, AT&T, MetroPCS, etc. Will NOT work with CDMA Carriers Such as Verizon, Sprint, Boost"
"Rugged Smartphone 2022,DOOGEE S41, 4G Dual Sim Rugged Phones Android 12, 6300mAh Battery, 5.5"" HD Screen Rugged Cell Phones, 6GB+16GB SD 1TB, IP68 Waterproof Outdoor Military Grade Android Phone, GPS",https://www.amazon.com/Smartphone-DOOGEE-Android-Waterproof-Military/dp/B0BNJ564PG/ref=sr_1_96?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1673089612&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-96,$139.99,5.0,DOOGEE,DOOGEE S41 Orange,Android 12.0,4G,"GSM, Wi-Fi, CDMA","☔【Tougher Smartphone Than Expected】DOOGEE S41 rugged smartphone is made of tough stuff and complies with harsh environments using standards which is passed IP68/IP69K and MIL-STD-810H tests outstandingly. Feature excellent protective military grade cell phone is worry free on dropping from 6FT height onto the ground, fully submerging into 4FT depth water 30mins, dusty or sandy complete covering.    🔋【6300mAh Larger Battery】Rugged phones unlocked is equipped with a 6300mAh battery and turns out to be a strong powerhouse that continuously powers you up, living up to more than a day of regular use. It can provide 580hrs Standby, 72 hrs Normal Use, 29 hrs Call, 32 hrs Music, and 11 hrs Video(Lab data). Intelligent and thoughtful AI battery management can reduce excessive cache to save more power and longer standby time.    📸【Triple Camera System】DOOGE S41 rugged smartphones with 8MP+2MP+2MP Triple Rear Cameras, allowing you to freely capture the moments and beauty of the world. and stunning selfies with a 5MP front-facing camera to capture crisp moment.    ❗【Dual SIM 4G Phone】Rugged smartphone unlocked is compatible with T-Mobile, MetroPCS, Mint Mobile and Sprint. AT&T/CRICKET/Verizon/Boost Mobile/Straight Talk or U.S. Cellular is NOT supported! Supported frequency bands: 2G: GSM: B2/B3/B5/B8; 3G: WCDMA: B1/B2/B4/B5/B8; 4G: FDD: B1/B2/B3/B4/B5/B7/B8/B12/B13 /B17/B18/B19/B20/B25/B26/B28(A+8)/B66, TDD: B38/B40/B41 Please confirm the carrier before purchasing.    ⚡【Excellent After-sales Service】DOOGEE is committed to providing our consumers the absolute best value and quality on our entire line of rugged cell lphone. As DOOGEE rugged smartphone valued members you have - 2-year free warranty, 30 days of money back without reason, 7/24 professional team here to serve you with any problems."
"UMIDIGI Power 7S Cell Phone, 4GB+64GB 6150mAh Battery Unlocked Smartphone with 6.7"" Full Screen + 16MP AI Triple Camera Android Smartphone",https://www.amazon.com/UMIDIGI-Power-7S-Unlocked-Smartphone/dp/B0BBYX7YHY/ref=sr_1_72?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1673089602&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-72,$139.99,3.9,UMIDIGI,Power 7s,,4G,,"【6.7"" Large Full Screen & Colorful Appearance】A large 6.7"" display will provide you with a larger field of view, and the enhanced clarity will bring gaming scenes and full immersion.9.9mm thin,216g lightweight body.Power 7S cell phone adopts 3D hexagon textured design, the innovative combination adds an elegant touch to the already charming device, which is exquisitely crafted for pursuing a delicate touch.    【6150mAh Large Battery & 10W Fast Charge】The big battery is one of the main features of our phone as you might think. A large 6150mAh battery was packed in the slim body, which keeps your phone going longer without frequent recharging, allowing you to enjoy your entertainment for a long time. Once the battery is exhausted, the power can be quickly restored by 10W Quick Charge Type-C Cable.    【4GB+64GB & Android 11】Powered by an Unisoc T310 processor and the performance is more reliable and smooth. With 4GB RAM, applications can run and switch quickly, reducing stuttering. 64GB ROM (expandable to 256GB with a microSD card) easily stores tons of music, movies and photos.    【6150mAh Large Battery & 10W Fast Charge】The big battery is one of the main features of our phone as you might think. A large 6150mAh battery was packed in the slim body, which keeps your phone going longer without frequent recharging, allowing you to enjoy your entertainment for a long time. Once the battery is exhausted, the power can be quickly restored by 10W Quick Charge Type-C Cable.    【Face Unlock & Customizable shortcut key】Power 7s smartphone with face Unlock make your life more easier and safer.The customizable shortcut key on the left side can help you quickly visit the APPs and functions. Single-click, double-click or long-press, easily access your device only in three actions.    【Do Not Work with AT&T, CRICKET 】It doesn't support AT&T SIM/CRICKET/Verizon/U.S.Cellular! It can work with T-Mobile/BTC/MetroPCS/Mint Mobile/Movistar/Telcel/Tigo/Claro/Koodo Mobile/Bell Wireless/Rogers Wireless/Luck Mobile/Virgin Mobile/Telus/Fido/SaskTel etc. Please Confirm Your SIM Card's Compatibility Before Purchasing! If there is any problem about the phone, please do not hesitate to contact us at any time, we will provide you with a good solution."
Motorola Moto G31 Dual-SIM 128GB ROM + 4GB RAM (GSM Only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Mineral Grey) - International Version (Renewed),https://www.amazon.com/Motorola-Dual-SIM-Factory-Unlocked-Smartphone/dp/B0B27D2X96/ref=sr_1_120?crid=36FGADW4PDD2F&keywords=mobile+phone&qid=1673089617&refinements=p_36%3A14674874011&rnid=14674871011&s=wireless&sprefix=mobile+pho%2Caps%2C375&sr=1-120,$135.00,4.5,Motorola,Motorola Moto G31,Android 11.0,4G,"GSM, CDMA, LTE",
